S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,ROCE %,Sales Rs.Cr.,OPM %,Debt / Eq,EPS 12M Rs.,Prom. Hold. %,Free Cash Flow 3Yrs Rs.Cr.,CF Opr 3Yrs Rs.Cr.,Ind PE,Chg in FII Hold %,Chg in DII Hold %,WC Days,Cash Cycle,Mar Cap Rs.Cr._num,P/E_num,Ind PE_num,ROCE %_num,Sales Rs.Cr._num,OPM %_num,Debt / Eq_num,EPS 12M Rs._num,Prom. Hold. %_num,Free Cash Flow 3Yrs Rs.Cr._num,CF Opr 3Yrs Rs.Cr._num,Chg in FII Hold %_num,Chg in DII Hold %_num,WC Days_num,Cash Cycle_num,sc_roce,sc_fcf3,sc_debteq,sc_valuation,sc_cfop3,sc_opm,sc_prom,sc_wceff,investment_score,rank
63,Cemindia Project,856.4,33.03,14711.89,27.64,9442.39,9.54,0.48,25.93,67.46,467.61,1378.1,21.16,-0.85,-0.07,-3.23,-64.34,14711.89,33.03,21.16,27.64,9442.39,9.54,0.48,25.93,67.46,467.61,1378.1,-0.85,-0.07,-3.23,-64.34,0.25747962321245565,0.6640502578624158,0.0,0.2557465239789115,1.0,0.09766436171351514,0.6797107613781369,0.7231505169219131,0.46210518039141085,40
28,Wealth First Por,1064.3,30.42,1134.01,37.51,56.52,77.05,0.0,33.92,74.04,44.71,45.49,30.53,0.0,-0.09,481.01,35.67,1134.01,30.42,30.53,37.51,56.52,77.05,0.0,33.92,74.04,44.71,45.49,0.0,-0.09,481.01,35.67,0.4983405729903854,0.06106427240308953,1.0,0.6125736681191531,0.03736982762420404,1.0,0.9595916631220762,0.2235002883749262,0.4583799450653735,41
99,Railtel Corpn.,351.65,34.89,11285.8,21.84,3771.07,15.14,0.03,9.99,72.84,384.35,1095.51,14.95,-0.13,0.0,29.53,165.98,11285.8,34.89,14.95,21.84,3771.07,15.14,0.03,9.99,72.84,384.35,1095.51,-0.13,0.0,29.53,165.98,0.1159402606276539,0.5453351641065788,0.931350114416476,0.035736445127984795,0.9818880830152766,0.217550469910728,0.9085495533815401,0.3980266247399351,0.45403906757396034,42
62,Fiem Industries,2106.5,26.31,5544.24,27.8,2503.81,13.31,0.02,81.14,54.52,258.56,498.83,32.44,2.51,1.54,29.03,37.23,5544.24,26.31,32.44,27.8,2503.81,13.31,0.02,81.14,54.52,258.56,498.83,2.51,1.54,29.03,37.23,0.261384157352726,0.3659792711982584,0.954233409610984,0.7297287735222295,0.44516006580918027,0.1783734024105674,0.129306678009358,0.5382493506744768,0.4434249873471324,43
88,U P Hotels,1557.0,24.94,840.78,23.58,160.52,29.41,0.0,62.43,88.39,52.27,85.22,34.4,0.0,0.0,-6.61,-51.98,840.78,24.94,34.4,23.58,160.52,29.41,0.0,62.43,88.39,52.27,85.22,0.0,0.0,-6.61,-51.98,0.15840206940309437,0.07184359150943266,1.0,0.7841065332623163,0.07310791860026859,0.5230459634775543,1.0,0.7176799974900586,0.44172717334002815,44
56,Systango Tech,272.85,12.38,400.24,28.74,83.85,40.12,0.0,22.04,72.13,20.78,26.2,27.65,-0.01,0.29,88.83,84.1,400.24,12.38,27.65,28.74,83.85,40.12,0.0,22.04,72.13,20.78,26.2,-0.01,0.29,88.83,84.1,0.28432329542681456,0.026944020258275924,1.0,0.9593452897108768,0.02001800847171761,0.7523281454047237,0.8783496384517226,0.3482299417227004,0.43157458067674115,45
110,L T Foods,404.3,22.07,14039.44,19.18,9732.83,11.13,0.33,18.32,51.0,894.23,1477.78,19.9,-0.03,1.12,99.66,201.62,14039.44,22.07,19.9,19.18,9732.83,11.13,0.33,18.32,51.0,894.23,1477.78,-0.03,1.12,99.66,201.62,0.05102738054565863,1.0,0.24485125858123546,0.5413758426412858,1.0,0.13170345314808096,0.0,0.19605642820632574,0.43140699577714076,46
43,Pecos Hotels,324.0,29.68,42.44,31.66,10.55,17.54,0.0,10.92,69.62,3.68,4.17,144.39,0.0,0.0,-11.76,-20.31,42.44,29.68,144.39,31.66,10.55,17.54,0.0,10.92,69.62,3.68,4.17,0.0,0.0,-11.76,-20.31,0.35558104348674924,0.002562227041547432,1.0,0.8856942509660959,0.00020149338984743148,0.2689302305666763,0.7715865589111021,0.6954795688602193,0.43001251487250924,47
45,Foseco India,5503.0,42.57,3514.47,31.34,592.95,17.69,0.0,124.07,74.98,133.93,158.06,31.56,-0.03,0.09,23.54,-23.31,3514.47,42.57,31.56,31.34,592.95,17.69,0.0,124.07,74.98,133.93,158.06,-0.03,0.09,23.54,-23.31,0.34777197520620845,0.1882773478882659,1.0,0.3898045286545301,0.13862925126315667,0.2721414656076731,0.9995746490854959,0.6164334361913377,0.42971113705440633,48
31,Global Education,70.63,18.14,359.52,35.93,69.91,38.85,0.0,3.89,72.0,57.17,66.5,28.2,0.03,0.0,252.87,141.28,359.52,18.14,28.2,35.93,69.91,38.85,0.0,3.89,72.0,57.17,66.5,0.03,0.0,252.87,141.28,0.4597832983552153,0.0788301872265069,1.0,0.8357676918795178,0.056268828163018945,0.7251396887242845,0.8728200765631648,0.10943558438584777,0.429496659479062,49
